Year,Longitude,Latitude
2002,-87.644078325,41.903700111
2002,-87.645195215,41.903684856
2002,-87.689594685,41.907117422
2002,-87.707508169,42.018249871
2002,-87.707508169,42.018249871
2002,-87.647276711,41.735396556
2002,-87.551349331,41.755409918
2002,-87.696178334,41.738691386
2002,-91.686565684,36.619446395
2002,-87.70954648,41.963665201
2002,-87.773083476,41.90651779
2002,-87.703288366,41.823526544
2002,-87.647658636,41.7056806
2002,-87.679574527,41.767792044
2002,-87.753444393,41.887836285
2002,-87.66056978,41.733576092
2002,-87.611882909,41.774118663
2002,-87.7120045,41.880907126
2002,-87.69307984,41.917523824
2002,-87.693071104,41.902957389
2002,-87.595184375,41.751391355
2002,-87.713571489,41.919378841
2002,-87.751260433,41.880421254
2002,-87.733376905,41.924404435
2002,-87.685719924,41.830273049
2002,-87.685771318,41.830270595
2002,-87.70200627,41.914741204
2002,-87.704469775,41.927273891
2002,-87.663327876,41.745980029
2002,-91.686565684,36.619446395
2002,-87.770520031,41.882169295
2002,-87.620195828,41.768640814
2002,-91.686565684,36.619446395
2002,-87.660215523,41.766442574
2002,-87.656573526,41.766289453
2002,-87.737872988,41.879117707
2002,-87.633366025,41.777476106
2002,-87.726751761,41.879748311
2002,-87.655327998,41.988198299
2002,-87.751260433,41.880421254
2002,-87.759891364,41.913104698
2002,-87.732310547,41.850820147
2002,-87.744546185,41.891396946
2002,-87.653527267,41.742686921
2002,-87.685096307,41.878604157
2002,-87.590002881,41.774217931
2002,-87.687007544,41.786511773
2002,-87.647000785,41.904192368
2002,-87.728537311,41.844200384
2002,-87.725200404,41.866762539
2002,-87.772178536,41.891554507
2002,-87.715971637,41.862846644
2002,-87.754389506,41.895423402
2002,-87.629017298,41.784900274
2002,-87.688162229,41.877529212
2002,-87.60701156,41.772422184
2002,-87.6342366,41.74828207
2002,-87.6342366,41.74828207
2002,-87.68752619,41.787445004
2002,-87.697680742,41.875963185
2002,-87.659183363,41.706736745
2002,-87.590831919,41.759867892
2002,-87.669901368,42.019366852
2002,-87.75478119,41.867074531
2002,-87.679681511,41.853957519
2002,-87.706283745,41.859072947
2002,-87.641583005,41.797169487
2002,-87.665840602,41.84292557
2002,-87.734663052,41.942086695
2002,-87.706709261,41.77254818
2002,-87.71352598,41.918006481
2002,-87.674973363,42.014648623
2002,-87.682166139,41.774681227
2002,-87.695392076,41.849852628
2002,-87.699440511,41.808195048
2002,-87.650776593,41.691343571
2002,-87.582305221,41.761244993
2002,-87.626927742,41.701284863
2002,-87.783735283,41.92041668
2002,-87.646550716,41.677294835
2002,-87.661949282,41.865147839
2002,-87.647147267,41.777142114
2002,-87.71151027,41.897792526
2002,-87.736799439,41.883601727
2002,-87.552715113,41.733127244
2002,-87.552715113,41.733127244
2002,-87.641828271,41.759329924
2002,-87.65377487,41.798754356
2002,-87.582806527,41.766978356
2002,-87.70222133,41.885444902
2002,-87.67220948,41.760719
2002,-87.603598988,41.825077005
2002,-87.684849239,41.778730518
2002,-87.670721771,42.020809541
2002,-87.681382901,41.932864085
2002,-87.702387649,41.968502536
2002,-87.717983581,41.935522153
2002,-87.565812535,41.758995448
2002,-87.626198314,41.67560714
2002,-87.723898394,41.903720634
2002,-87.732951182,41.878469137
2002,-87.713681395,41.858989606
2002,-87.690883705,41.909358447
2002,-87.602725951,41.823125769
2002,-87.602725951,41.823125769
2002,-87.582238072,41.75788828
2002,-87.663539586,41.78130315
2002,-87.65102944,41.78616651
2002,-87.539015561,41.667449568
2002,-87.65111401,41.78960286
2002,-87.61265777,41.773017577
2002,-87.61533625,41.721175221
2002,-87.634824238,41.724492467
2002,-87.745503149,41.886766818
2002,-87.665553508,41.784382992
2002,-87.688683639,41.874606771
2002,-87.572164434,41.716783626
2002,-87.718455766,41.915439687
2002,-87.703885006,41.862984112
2002,-87.550981163,41.743475199
2002,-87.667699693,41.960145388
2002,-87.688366953,41.950603731
2002,-87.650971567,41.716886185
2002,-87.654837578,41.74630892
2002,-87.68705092,41.744570869
2002,-87.771693958,41.901170711
2002,-87.697387744,41.953977294
2002,-87.677535077,41.778359684
2002,-87.597045801,41.76520163
2002,-87.667193768,41.754850152
2002,-87.765578192,41.909845362
2002,-87.661985563,41.903424752
2002,-87.722613684,41.901688561
2002,-87.664169936,41.748523421
2002,-87.647471791,41.789693689
2002,-87.713489726,41.862871696
2002,-87.755979014,41.957879064
2002,-87.657553571,41.854806406
2002,-87.760612241,41.879307455
2002,-87.695972877,41.899285277
2002,-87.59365658,41.758697832
2002,-87.732973584,41.927053251
2002,-87.70641282,41.890948116
2002,-87.687768326,41.796203389
2002,-87.758065988,41.895441878
2002,-87.723464065,41.88914092
2002,-87.772256627,41.7990319
2002,-87.723475324,41.867101912
2002,-87.715602728,41.872186102
