Year,Latitude,Longitude
2002,41.716783626,-87.572164434
2002,41.915439687,-87.718455766
2002,41.862984112,-87.703885006
2002,41.743475199,-87.550981163
2002,41.960145388,-87.667699693
2002,41.950603731,-87.688366953
2002,41.716886185,-87.650971567
2002,41.74630892,-87.654837578
2002,41.744570869,-87.68705092
2002,41.901170711,-87.771693958
2002,41.953977294,-87.697387744
2002,41.778359684,-87.677535077
2002,41.76520163,-87.597045801
2002,41.754850152,-87.667193768
2002,41.909845362,-87.765578192
2002,41.903424752,-87.661985563
2002,41.901688561,-87.722613684
2002,41.748523421,-87.664169936
2002,41.789693689,-87.647471791
2002,41.862871696,-87.713489726
2002,41.957879064,-87.755979014
2002,41.854806406,-87.657553571
2002,41.879307455,-87.760612241
2002,41.899285277,-87.695972877
2002,41.758697832,-87.59365658
2002,41.927053251,-87.732973584
2002,41.890948116,-87.70641282
2002,41.796203389,-87.687768326
2002,41.895441878,-87.758065988
2002,41.88914092,-87.723464065
2002,41.7990319,-87.772256627
2002,41.867101912,-87.723475324
2002,41.872186102,-87.715602728
2002,41.90528152,-87.732641264
2002,41.794241476,-87.650320383
2002,41.766451393,-87.643199714
2002,41.895788523,-87.762088481
2002,41.939505116,-87.683807247
2002,41.870094592,-87.73892969
2002,41.933053899,-87.700098398
2002,41.744042177,-87.599478862
2002,41.679038406,-87.637124349
2002,41.87448398,-87.718334431
2002,41.883225213,-87.737221581
2002,41.79037523,-87.617490782
2002,41.773880333,-87.674541574
2002,41.789462555,-87.660829146
2002,41.97294747,-87.722043736
2002,41.68817534,-87.613243011
2002,41.747883905,-87.730592841
2002,41.767831215,-87.715923041
2002,41.961072112,-87.717715752
2002,41.801255138,-87.650198227
2002,41.839292845,-87.625169769
2002,41.799608153,-87.656619157
2002,41.874503125,-87.764650028
2002,41.785695591,-87.670434929
2002,41.815912705,-87.743367178
2002,41.746777845,-87.606322266
2002,41.709751877,-87.650204674
2002,41.7367537,-87.544456732
2002,41.953926868,-87.70718566
2002,41.854314622,-87.721075101
2002,41.897995943,-87.6609258
2002,41.777004548,-87.669032293
2002,41.864266513,-87.730642732
2002,41.883175418,-87.674852215
2002,41.949612343,-87.671364054
2002,41.771621992,-87.668860547
2002,41.879279292,-87.762672513
2002,41.919378398,-87.75232483
2002,41.807147543,-87.613859922
2002,41.924671469,-87.759857617
2002,41.891785235,-87.756710494
2002,41.850622191,-87.622229624
2002,41.786353153,-87.651034795
2002,41.769606111,-87.670014078
2002,41.755905259,-87.591702219
2002,41.843726168,-87.720871448
2002,41.968930428,-87.748473361
2002,41.965488685,-87.65092848
2002,41.873635421,-87.710081187
2002,41.898421553,-87.770689566
2002,41.892335357,-87.741852752
2002,41.884392612,-87.69258078
2002,41.903684856,-87.645195215
2002,41.915720462,-87.732616867
2002,41.824547594,-87.633176413
2002,41.954827095,-87.711753943
2002,41.670639213,-87.539518051
2002,41.941867914,-87.718705481
2002,41.940378045,-87.686771907
2002,41.785161229,-87.620603115
2002,41.766128517,-87.57085566
2002,41.994322796,-87.716541971
2002,41.994322796,-87.716541971
2002,42.006597588,-87.67122617
2002,41.791058882,-87.623291703
2002,41.784899752,-87.606031086
2002,41.771109757,-87.617840659
2002,41.750333637,-87.602731072
2002,41.840009037,-87.713449858
2002,41.808506601,-87.612648949
2002,41.808506601,-87.612648949
